interval i_sentout i_started i_relayed i_dropped i_removed i_delivered i_overhead d_sentout d_started d_relayed d_dropped d_removed d_delivered d_overhead latency_avg hopcount_avg satisfaction_rate
1 184 217 217 40 101 39 0.8203 78 227 227 0 0 39 0.8282 1311.1487 1.3590 0.2120
2 207 373 373 14 444 190 0.4906 232 1085 1085 0 0 144 0.8673 2298.1979 1.7246 0.4680
3 238 548 548 43 713 346 0.3686 181 1043 1043 0 0 214 0.7948 3240.1243 1.7000 0.6312
4 228 595 595 40 759 412 0.3076 146 797 797 0 0 200 0.7491 3660.8175 1.6454 0.6966
5 236 643 643 52 848 457 0.2893 146 657 657 0 0 259 0.6058 4034.9595 1.5796 0.7832
6 222 746 746 43 889 578 0.2252 89 488 488 0 0 197 0.5963 3905.3619 1.4968 0.8008
7 233 871 871 44 1042 696 0.2009 98 493 493 0 0 212 0.5700 4199.7316 1.4890 0.8172
8 240 1038 1038 54 1230 856 0.1753 82 500 500 4998 0 244 0.5120 4979.9291 1.4591 0.8440
9 264 985 985 283 926 552 0.4396 259 1177 1177 810 0 278 0.7638 5102.0187 1.9398 0.8709
10 245 934 934 275 900 567 0.3929 113 654 654 417 0 228 0.6514 4367.1101 1.9358 0.8772
11 247 1047 1047 282 1023 705 0.3266 93 560 560 421 0 228 0.5929 4186.6943 1.8296 0.8817
12 237 1001 1001 228 1012 701 0.2997 73 438 438 411 0 230 0.4749 3771.8457 1.7594 0.8892
13 234 1048 1048 250 1020 721 0.3120 75 439 439 361 0 204 0.5353 3153.7794 1.7373 0.8879
14 222 1021 1021 212 1021 745 0.2703 56 324 324 351 0 189 0.4167 3365.9069 1.6916 0.8854
15 241 1220 1220 222 1223 919 0.2467 58 366 366 370 0 216 0.4098 2664.0204 1.6423 0.8861
16 231 1180 1180 209 1187 898 0.2390 56 349 349 3830 0 201 0.4241 2675.8214 1.6460 0.8851
17 270 1118 1118 366 1083 745 0.3336 198 1060 1060 779 0 270 0.7453 5129.0619 1.9606 0.8929
18 249 1086 1086 293 987 727 0.3306 67 599 599 662 0 200 0.6661 3076.0165 1.8997 0.8877
19 227 1168 1168 309 1083 807 0.3091 77 479 479 668 0 199 0.5846 2775.9799 1.9066 0.8871
20 243 1178 1178 313 1129 846 0.2818 71 440 440 678 0 216 0.5091 2644.2065 1.8267 0.8872
21 243 1197 1197 268 1138 890 0.2565 61 402 402 648 0 195 0.5149 2709.6277 1.7263 0.8830
22 234 1238 1238 271 1201 937 0.2431 48 375 375 564 0 205 0.4533 2436.5059 1.6996 0.8827
23 225 1308 1307 249 1249 1009 0.2280 43 301 301 534 0 172 0.4286 2332.2785 1.6266 0.8778
24 234 1327 1327 245 1296 1053 0.2065 40 314 314 3401 0 173 0.4490 2836.1046 1.5669 0.8720
